allotrope,r,elements,G(r),type
alpha,2.105,BB,3.9393721926006965e-4,NNP
alpha,2.105,BAg,0,NNP
alpha,2.105,AgAg,0,NNP
alpha,2.115,BB,2.943875281965125e-4,NNP
alpha,2.115,BAg,0,NNP
alpha,2.115,AgAg,0,NNP
alpha,2.125,BB,1.8311006530902934e-4,NNP
alpha,2.125,BAg,0,NNP
alpha,2.125,AgAg,0,NNP
alpha,2.135,BB,1.1756750329886199e-4,NNP
alpha,2.135,BAg,0,NNP
alpha,2.135,AgAg,0,NNP
alpha,2.145,BB,7.321334299965379e-5,NNP
alpha,2.145,BAg,6.827108396500474e-4,NNP
alpha,2.145,AgAg,0,NNP
alpha,2.155,BB,4.287114264124081e-5,NNP
alpha,2.155,BAg,7.726151477521113e-4,NNP
alpha,2.155,AgAg,0,NNP
alpha,2.165,BB,3.266048083523554e-5,NNP
alpha,2.165,BAg,0.001627267976647356,NNP
alpha,2.165,AgAg,0,NNP
alpha,2.175,BB,9.716322586682808e-6,NNP
alpha,2.175,BAg,0.0014227356757151605,NNP
alpha,2.175,AgAg,0,NNP
alpha,2.185,BB,1.9245137193622615e-5,NNP
alpha,2.185,BAg,0.002349311951092056,NNP
alpha,2.185,AgAg,0,NNP
alpha,2.195,BB,2.543290052514167e-5,NNP
alpha,2.195,BAg,0.003492220467839543,NNP
alpha,2.195,AgAg,0,NNP
alpha,2.205,BB,2.5194254005468754e-5,NNP
alpha,2.205,BAg,0.003968151398854844,NNP
alpha,2.205,AgAg,0,NNP
alpha,2.215,BB,1.873375179432352e-5,NNP
alpha,2.215,BAg,0.007178297100024161,NNP
alpha,2.215,AgAg,0,NNP
alpha,2.225,BB,0,NNP
alpha,2.225,BAg,0.01010468232874634,NNP
alpha,2.225,AgAg,0,NNP
alpha,2.235,BB,0,NNP
alpha,2.235,BAg,0.013247961700764749,NNP
alpha,2.235,AgAg,0,NNP
alpha,2.245,BB,0,NNP
alpha,2.245,BAg,0.01762573960340962,NNP
alpha,2.245,AgAg,0,NNP
alpha,2.255,BB,0,NNP
alpha,2.255,BAg,0.024219658700770367,NNP
alpha,2.255,AgAg,0,NNP
alpha,2.265,BB,0,NNP
alpha,2.265,BAg,0.0333634887366759,NNP
alpha,2.265,AgAg,0,NNP
alpha,2.275,BB,0,NNP
alpha,2.275,BAg,0.040092826198115376,NNP
alpha,2.275,AgAg,0,NNP
alpha,2.285,BB,0,NNP
